tx_time,tx_slot,tx_time_ms,h_id,tbs,rv,nrtx,success,outcome,reason
2025-12-05 21:23:51.424872,754.15,7547.5,13,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.425387,754.16,7548.0,14,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.425986,754.17,7548.5,7,2817.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.427387,755.0,7550.0,8,3521.0,0.0,0.0,False,retransmitted,Retransmitted at nrtx=1
2025-12-05 21:23:51.427849,755.1,7550.5,9,5889.0,0.0,0.0,False,retransmitted,Retransmitted at nrtx=1
2025-12-05 21:23:51.428457,755.2,7551.0,10,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.428915,755.3,7551.5,11,5889.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.429367,755.4,7552.0,12,5889.0,0.0,0.0,False,retransmitted,Retransmitted at nrtx=1
2025-12-05 21:23:51.429844,755.5,7552.5,15,2112.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.437397,756.0,7560.0,8,3521.0,2.0,1.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.437863,756.1,7560.5,9,5889.0,2.0,1.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.438348,756.2,7561.0,12,5889.0,2.0,1.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.438937,756.3,7561.5,15,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.439403,756.4,7562.0,11,5252.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.439874,756.5,7562.5,10,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.440379,756.6,7563.0,7,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.440978,756.7,7563.5,14,2754.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.442377,756.1,7560.5,13,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.442975,756.11,7565.5,6,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.443442,756.12,7566.0,4,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.443925,756.13,7566.5,1,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.444385,756.14,7567.0,0,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.444834,756.15,7567.5,2,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.445442,756.16,7568.0,3,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.445936,756.17,7568.5,5,2754.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.447451,757.0,7570.0,10,3393.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.447920,757.1,7570.5,11,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.448421,757.2,7571.0,15,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.448874,757.3,7571.5,12,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.449447,757.4,7572.0,9,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.449903,757.5,7572.5,8,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.450894,757.7,7573.5,0,2754.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.452410,757.1,7570.5,2,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.452875,757.11,7575.5,1,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
2025-12-05 21:23:51.453323,757.12,7576.0,4,5763.0,0.0,0.0,True,acked,No retransmission (implicit ACK)
