time,ue,rnti,h_id,slot,ack,tbs,type
2025-12-05 21:24:07.690965,0,0x4601,0,332.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.690965,0,0x4601,13,332.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.690965,0,0x4601,1,332.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.691925,0,0x4601,10,332.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,8,333.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,3,333.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,5,333.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,7,333.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,12,333.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,14,333.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.696376,0,0x4601,9,333.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,11,333.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,1,333.18,1,2817.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,10,333.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,13,333.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,0,333.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,15,333.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.700904,0,0x4601,6,333.18,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.701929,0,0x4601,4,333.19,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.706417,0,0x4601,3,334.9,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.706417,0,0x4601,2,334.8,1,5889.0,HARQ-ACK
2025-12-05 21:24:07.706417,0,0x4601,9,334.8,1,3521.0,HARQ-ACK
2025-12-05 21:24:07.706417,0,0x4601,14,334.8,1,5889.0,HARQ-ACK
