time,ue,rnti,h_id,mcs,tbs,nrtx,rv,type
2025-12-05 21:24:01.314400,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.314854,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.315397,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.317357,0,0x4601,9,27,3521,0,0,PDSCH
2025-12-05 21:24:01.317961,0,0x4601,10,27,4737,0,0,PDSCH
2025-12-05 21:24:01.318481,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.318887,0,0x4601,4,24,5252,0,0,PDSCH
2025-12-05 21:24:01.319355,0,0x4601,2,24,5252,0,0,PDSCH
2025-12-05 21:24:01.319969,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.320443,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.320911,0,0x4601,7,27,2817,0,0,PDSCH
2025-12-05 21:24:01.322443,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.322930,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.323376,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.323849,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.324443,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.324891,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.325387,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.327418,0,0x4601,1,27,3521,0,0,PDSCH
2025-12-05 21:24:01.327876,0,0x4601,2,27,5889,0,0,PDSCH
2025-12-05 21:24:01.328460,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.328920,0,0x4601,0,27,928,0,0,PDSCH
2025-12-05 21:24:01.329417,0,0x4601,10,27,5637,0,0,PDSCH
2025-12-05 21:24:01.329866,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.330399,0,0x4601,6,27,5889,0,0,PDSCH
2025-12-05 21:24:01.330968,0,0x4601,15,27,2817,0,0,PDSCH
2025-12-05 21:24:01.332365,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.332951,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.333449,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.333905,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.334343,0,0x4601,14,27,5889,0,0,PDSCH
2025-12-05 21:24:01.334953,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.335448,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.337430,0,0x4601,9,27,3521,0,0,PDSCH
2025-12-05 21:24:01.337935,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.338376,0,0x4601,0,24,5252,0,0,PDSCH
2025-12-05 21:24:01.338837,0,0x4601,4,24,5252,0,0,PDSCH
2025-12-05 21:24:01.339433,0,0x4601,2,24,5252,0,0,PDSCH
2025-12-05 21:24:01.339904,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.340395,0,0x4601,13,27,5889,0,0,PDSCH
2025-12-05 21:24:01.340907,0,0x4601,14,27,2817,0,0,PDSCH
2025-12-05 21:24:01.342417,0,0x4601,7,27,5889,0,0,PDSCH
2025-12-05 21:24:01.342870,0,0x4601,12,27,5889,0,0,PDSCH
2025-12-05 21:24:01.343456,0,0x4601,3,27,5889,0,0,PDSCH
2025-12-05 21:24:01.343962,0,0x4601,5,27,5889,0,0,PDSCH
2025-12-05 21:24:01.344369,0,0x4601,8,27,5889,0,0,PDSCH
2025-12-05 21:24:01.344842,0,0x4601,15,27,5889,0,0,PDSCH
2025-12-05 21:24:01.345483,0,0x4601,6,27,349,0,0,PDSCH
2025-12-05 21:24:01.347378,0,0x4601,2,27,3521,0,0,PDSCH
2025-12-05 21:24:01.347946,0,0x4601,4,27,5889,0,0,PDSCH
2025-12-05 21:24:01.348426,0,0x4601,0,27,5889,0,0,PDSCH
2025-12-05 21:24:01.348869,0,0x4601,10,27,5889,0,0,PDSCH
2025-12-05 21:24:01.349330,0,0x4601,9,27,5889,0,0,PDSCH
2025-12-05 21:24:01.349942,0,0x4601,11,27,5889,0,0,PDSCH
2025-12-05 21:24:01.350434,0,0x4601,1,27,5889,0,0,PDSCH
2025-12-05 21:24:01.350914,0,0x4601,8,27,2817,0,0,PDSCH
2025-12-05 21:24:01.352435,0,0x4601,15,27,5889,0,0,PDSCH
