pw,mean,std,count,median
719.9999999999,19.23664,23.998196426398383,75,6.56
725.0,20.160652777777777,26.150572125354596,72,9.215
730.0,26.384415584415585,24.128560402315237,77,16.3
735.0,25.859285714285715,23.793549526608846,77,18.3
740.0,19.54482051282051,23.84926611506329,78,6.845
745.0,37.556525641025644,27.518568231274934,78,57.05
750.0,31.036172413793103,24.179591954633125,58,26.049999999999997
754.9999999999,27.534333333333333,23.914148039578464,78,25.35
759.9999999999,34.138820512820516,23.026457354639422,78,31.5
765.0,24.63651948051948,25.60566664237183,77,6.89
770.0,23.304766233766234,24.770895626827066,77,9.44
775.0,31.800961038961038,23.810950978180276,77,28.0
780.0,29.37292207792208,24.389540223955713,77,31.4
785.0,22.247205128205128,24.53021597702421,78,10.3
790.0,25.007263157894737,23.987936252690805,76,12.9
794.9999999999,21.937743243243244,24.494154708386617,74,9.504999999999999
799.9999999999,25.213454545454546,24.398674547986506,77,22.0
804.9999999999,30.248833333333334,23.509369705691267,78,34.7
810.0,28.026051282051284,23.47801274909541,78,26.5
815.0,27.213,24.06223400003548,70,29.95
820.0,25.01104411764706,25.62803229117343,68,17.3
825.0,34.084077922077924,24.358111651576984,77,41.2
830.0,24.393948717948717,22.930582261566727,78,18.299999999999997
834.9999999999,23.539368421052632,25.0872847261142,76,9.165
839.9999999999,29.572103896103897,23.484383260384817,77,26.6
844.9999999999,29.123454545454543,24.46863751210035,77,28.2
850.0,23.531616666666665,26.556150043928607,60,8.915
855.0,27.87808860759494,23.912982835309187,79,28.4
860.0,27.65801282051282,24.87333838370883,78,18.549999999999997
865.0,29.77580769230769,24.804712807368755,78,32.65
870.0,23.65172727272727,23.303391625546446,77,15.6
874.9999999999,27.336493506493504,23.446645298490928,77,21.6
879.9999999999,22.331480519480518,24.946760212400534,77,7.7
884.9999999999,24.751415584415582,25.70653718791075,77,9.0
890.0,24.884987012987015,24.712710898652034,77,9.24
895.0,24.236666666666668,25.094887447273837,78,9.5
900.0,32.01247435897436,23.378075620271357,78,31.2
905.0,27.59176923076923,23.440803224637673,78,25.25
910.0,21.67625641025641,25.035062113450188,78,8.254999999999999
914.9999999999001,23.99101282051282,25.817843832177207,78,8.91
919.9999999999,23.43725641025641,25.452397026114426,78,8.600000000000001
924.9999999999,24.826272727272727,24.69365543362588,77,11.0
929.9999999999,23.03812987012987,25.218554306799927,77,8.51
935.0,26.714370967741935,24.540797940341132,62,17.7
940.0,22.87596153846154,25.9634143625629,78,7.68
945.0,32.250025974025974,24.63447980071729,77,37.3
950.0,23.469269230769232,24.512354674323316,78,9.91
954.9999999999001,25.028128205128205,24.464206789256533,78,14.6
959.9999999999,24.670423076923075,24.559971217314256,78,15.15
964.9999999999,26.087371794871796,24.15575069607943,78,18.05
969.9999999999,23.663,25.013747168614795,66,17.1
975.0,27.783512820512822,24.307735244046054,78,19.5
980.0,21.532515625,26.13587369698043,64,8.765
985.0,23.763753246753247,24.92989815523556,77,8.87
990.0,22.219269230769232,24.614595310571264,78,8.905000000000001
995.0,25.76176923076923,24.170979463103976,78,17.9
1000.0,20.58116129032258,24.055514329269492,62,11.9
1005.0,27.074379746835447,23.737954317119154,79,24.6
1010.0,25.633434210526318,23.762682242729827,76,18.35
1015.0000000000001,28.425844155844157,24.607072707094503,77,21.6
1019.9999999998998,25.8977012987013,23.76866364236354,77,17.7
1024.9999999999,26.21253246753247,24.103829608146032,77,16.0
1029.9999999999,24.348602739726026,26.520291721486963,73,12.1
1035.0,23.546103896103894,24.84696154705123,77,8.77
1040.0,23.561389610389607,25.394889900983003,77,8.81
1045.0,20.219285714285714,24.583698825514624,77,7.68
1050.0,24.61896103896104,24.57747938472041,77,14.8
1055.0,24.07742105263158,25.122059042609358,76,9.844999999999999
1060.0,27.04905194805195,23.888192325419126,77,15.2
1065.0,25.599597402597404,23.80253174242061,77,18.0
1070.0,22.557230769230767,25.1970187222915,78,7.619999999999999
1075.0,25.091,24.47386448395963,78,14.649999999999999
1080.0,24.7052987012987,24.48220229659053,77,9.02
1085.0,20.74234210526316,24.783019025966215,76,7.295
1090.0,29.379456140350875,23.59104460388531,57,27.6
1095.0,26.05803896103896,23.829144219809116,77,14.3
1099.9999999999002,30.56053448275862,25.755692514856644,58,26.6
1104.9999999999,31.09383116883117,25.261670579317656,77,24.1
1109.9999999999,35.587909090909086,20.72762375949812,77,30.2
1114.9999999999,24.76125974025974,24.590482235807052,77,11.9
1120.0,22.516628205128207,25.34798863103726,78,7.6850000000000005
1125.0,31.182855263157894,25.00925916040108,76,26.950000000000003
1130.0,29.263474358974356,24.980572255787223,78,24.049999999999997
1135.0,30.22616883116883,23.6471803156109,77,27.0
1140.0,31.007324675324675,23.39653226129302,77,24.2
1145.0,22.840141025641024,25.406806028390683,78,8.29
1150.0,27.648272727272726,24.568012885091246,77,26.5
1155.0,24.61555844155844,25.45415708034508,77,9.22
1160.0,30.2240641025641,23.250071221977073,78,25.15
1165.0,31.473775862068965,26.2871045011455,58,27.25
1170.0,24.647576923076922,24.703566074409324,78,10.719999999999999
1175.0,27.53287179487179,23.617413365169188,78,26.55
1179.9999999999002,20.01228947368421,24.716458042308236,38,5.555
1184.9999999999,21.65830769230769,25.59087588652792,39,5.79
1189.9999999999,35.25460526315789,20.36574254694928,38,27.7
1194.9999999999,22.306184210526315,25.3918811623942,38,6.92
1200.0,34.23558974358975,21.92757416889802,39,28.6
1205.0,27.040027027027026,27.336054205518156,37,6.86
1210.0,26.498736842105263,24.27067013483025,38,15.0
1215.0,23.92446153846154,25.967987249330214,39,8.14
1220.0,28.39,24.891836294360907,39,20.8
1225.0,21.336897435897438,25.950656634826746,39,6.5
1230.0,23.031769230769232,26.203840414056565,39,6.59
1235.0,25.239179487179488,25.079649907184443,39,12.2
1240.0,31.903000000000002,22.368818680428674,39,27.7
1245.0,23.94579487179487,26.02429758107592,39,8.17
1250.0,24.39469230769231,24.938666395520123,39,9.48
1255.0,24.07046153846154,26.11713407933992,39,8.35
1259.9999999999002,34.87674358974359,20.81423455578057,39,28.5
1264.9999999999002,27.25151282051282,24.150440304226116,39,17.5
1269.9999999999,23.885820512820512,24.718826233494045,39,9.47
1274.9999999999,19.342805555555557,24.25843009031758,36,6.109999999999999
1279.9999999999,25.30982051282051,24.986690790848293,39,11.4
