time,log_type,rnti,format,prb,prb2,symb,csi1,sinr,t,bwp,n_id,n_id0,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb1,cs,occ,ack,metric,sr
2025-07-30 15:21:59.853411,PHY,0x4601,2,"[6,",na,"[0,",,+29.6dB,15.6us,"[0,",1,1,753.17,normal,0,valid,-11.5dB,-11.6dB,0.20us,-118.0Hz,,,,11111,,
2025-07-30 15:21:59.854351,PHY,0x4601,1,,na,"[0,",,+16.7dB,16.1us,"[0,",1,,753.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1255.3,
2025-07-30 15:21:59.854846,PHY,0x4601,1,,na,"[0,",,+16.3dB,13.9us,"[0,",1,,753.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1147.6,
2025-07-30 15:21:59.858956,CSI,0x4601,2,"[6,",na,"[0,",1111,+32.0dB,15.1us,"[0,",1,1,754.8,normal,0,valid,-11.5dB,-11.5dB,0.21us,+73.8Hz,,,,1,,
2025-07-30 15:21:59.859793,PHY,0x4601,1,,na,"[0,",,+18.1dB,16.4us,"[0,",1,,754.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1714.6,
2025-07-30 15:21:59.863459,PHY,0x4601,2,"[6,",na,"[0,",,+33.8dB,16.6us,"[0,",1,1,754.17,normal,0,valid,-11.5dB,-11.5dB,0.21us,-64.3Hz,,,,11111,,
2025-07-30 15:21:59.864282,PHY,0x4601,1,,na,"[0,",,+17.8dB,17.1us,"[0,",1,,754.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1629.1,
2025-07-30 15:21:59.864861,PHY,0x4601,1,,na,"[0,",,+17.9dB,20.0us,"[0,",1,,754.19,normal,0,valid,-14.4dB,-14.4dB,na,na,0,0,0,1,1635.5,
2025-07-30 15:21:59.869356,PHY,0x4601,1,,na,"[0,",,+16.9dB,25.6us,"[0,",1,,755.8,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1316.2,
2025-07-30 15:21:59.869833,PHY,0x4601,1,,na,"[0,",,+16.8dB,14.4us,"[0,",1,,755.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,0,1275.6,
2025-07-30 15:21:59.873372,PHY,0x4601,2,"[6,",na,"[0,",,+31.3dB,13.8us,"[0,",1,1,755.17,normal,0,valid,-11.5dB,-11.6dB,0.20us,-72.7Hz,,,,10111,,
2025-07-30 15:21:59.874330,PHY,0x4601,1,,na,"[0,",,+16.7dB,15.1us,"[0,",1,,755.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1237.7,
2025-07-30 15:21:59.874808,PHY,0x4601,1,,na,"[0,",,+16.7dB,31.4us,"[0,",1,,755.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,0,1256.2,
2025-07-30 15:21:59.878927,CSI,0x4601,2,"[6,",na,"[0,",1111,+32.1dB,13.4us,"[0,",1,1,756.8,normal,0,valid,-11.4dB,-11.4dB,0.21us,+38.1Hz,,,,1,,
2025-07-30 15:21:59.879859,PHY,0x4601,1,,na,"[0,",,+17.8dB,15.9us,"[0,",1,,756.9,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1631.7,
2025-07-30 15:21:59.883412,PHY,0x4601,2,"[6,",na,"[0,",,+34.3dB,15.0us,"[0,",1,1,756.17,normal,0,valid,-11.5dB,-11.5dB,0.20us,+139.8Hz,,,,11111,,
2025-07-30 15:21:59.884344,PHY,0x4601,1,,na,"[0,",,+17.9dB,19.3us,"[0,",1,,756.18,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,1,1623.3,
2025-07-30 15:21:59.884842,PHY,0x4601,1,,na,"[0,",,+17.8dB,23.0us,"[0,",1,,756.19,normal,0,valid,-14.4dB,-14.5dB,na,na,0,0,0,0,1611.5,
