time,log_type,rnti,format,prb1,prb2,symb,cs,occ,sr,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,prb,csi1,n_id0,ack
2025-07-30 16:06:14.963275,PHY,0x4601,2,,na,"[0,",,,,,+29.6dB,22.7us,"[0,",1,312.17,normal,0,valid,-11.8dB,-11.9dB,0.13us,+114.3Hz,"[6,",,1,11111
2025-07-30 16:06:14.964211,PHY,0x4601,1,0,na,"[0,",0,0,,2269.3,+19.3dB,15.1us,"[0,",1,312.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.964701,PHY,0x4601,1,0,na,"[0,",0,0,,2537.0,+19.8dB,22.5us,"[0,",1,312.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.969196,PHY,0x4601,1,0,na,"[0,",0,0,,2418.0,+19.6dB,24.6us,"[0,",1,313.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.969747,PHY,0x4601,1,0,na,"[0,",0,0,,2379.1,+19.5dB,15.7us,"[0,",1,313.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.973294,PHY,0x4601,2,,na,"[0,",,,,,+28.6dB,16.1us,"[0,",1,313.17,normal,0,valid,-11.9dB,-11.9dB,0.16us,-20.1Hz,"[6,",,1,11110
2025-07-30 16:06:14.974236,PHY,0x4601,1,0,na,"[0,",0,0,,2489.7,+19.7dB,16.2us,"[0,",1,313.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.974709,PHY,0x4601,1,0,na,"[0,",0,0,,2409.7,+19.6dB,22.7us,"[0,",1,313.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.978875,CSI,0x4601,2,,na,"[0,",,,,,+34.6dB,18.3us,"[0,",1,314.8,normal,0,valid,-11.8dB,-11.8dB,0.15us,+118.7Hz,"[6,",1110,1,1
2025-07-30 16:06:14.979692,PHY,0x4601,1,0,na,"[0,",0,0,,2275.7,+19.3dB,21.4us,"[0,",1,314.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.983340,PHY,0x4601,2,,na,"[0,",,,,,+31.5dB,16.1us,"[0,",1,314.17,normal,0,valid,-12.0dB,-12.0dB,0.14us,+41.8Hz,"[6,",,1,11111
2025-07-30 16:06:14.984269,PHY,0x4601,1,0,na,"[0,",0,0,,2196.7,+19.1dB,15.9us,"[0,",1,314.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.984747,PHY,0x4601,1,0,na,"[0,",0,0,,2422.4,+19.6dB,21.4us,"[0,",1,314.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.989234,PHY,0x4601,1,0,na,"[0,",0,0,,2386.8,+19.5dB,17.1us,"[0,",1,315.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.989704,PHY,0x4601,1,0,na,"[0,",0,0,,2166.1,+19.1dB,16.3us,"[0,",1,315.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.993251,PHY,0x4601,2,,na,"[0,",,,,,+31.2dB,16.5us,"[0,",1,315.17,normal,0,valid,-11.9dB,-11.9dB,0.16us,+16.0Hz,"[6,",,1,11110
2025-07-30 16:06:14.994191,PHY,0x4601,1,0,na,"[0,",0,0,,2389.1,+19.5dB,16.6us,"[0,",1,315.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:14.994680,PHY,0x4601,1,0,na,"[0,",0,0,,2452.5,+19.6dB,15.8us,"[0,",1,315.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:14.998803,CSI,0x4601,2,,na,"[0,",,,,,+31.9dB,15.2us,"[0,",1,316.8,normal,0,valid,-11.8dB,-11.9dB,0.13us,+108.4Hz,"[6,",1110,1,1
2025-07-30 16:06:14.999742,PHY,0x4601,1,0,na,"[0,",0,0,,2446.6,+19.6dB,16.3us,"[0,",1,316.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.003283,PHY,0x4601,2,,na,"[0,",,,,,+31.3dB,16.7us,"[0,",1,316.17,normal,0,valid,-11.9dB,-11.9dB,0.14us,+57.0Hz,"[6,",,1,11111
2025-07-30 16:06:15.004223,PHY,0x4601,1,0,na,"[0,",0,0,,3594.1,+21.3dB,16.5us,"[0,",1,316.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.004701,PHY,0x4601,1,0,na,"[0,",0,0,,3330.1,+21.0dB,15.3us,"[0,",1,316.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.009189,PHY,0x4601,1,0,na,"[0,",0,0,,2537.1,+19.8dB,17.0us,"[0,",1,317.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.009776,PHY,0x4601,1,0,na,"[0,",0,0,,2521.7,+19.7dB,19.8us,"[0,",1,317.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.013360,PHY,0x4601,2,,na,"[0,",,,,,+29.3dB,18.9us,"[0,",1,317.17,normal,0,valid,-11.9dB,-11.9dB,0.17us,-41.9Hz,"[6,",,1,11110
2025-07-30 16:06:15.014252,PHY,0x4601,1,0,na,"[0,",0,0,,3639.9,+21.3dB,16.2us,"[0,",1,317.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.014726,PHY,0x4601,1,0,na,"[0,",0,0,,3753.0,+21.5dB,14.4us,"[0,",1,317.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.018830,CSI,0x4601,2,,na,"[0,",,,,,+30.6dB,15.8us,"[0,",1,318.8,normal,0,valid,-11.8dB,-11.9dB,0.12us,+33.6Hz,"[6,",1110,1,1
2025-07-30 16:06:15.019695,PHY,0x4601,1,0,na,"[0,",0,0,,2502.9,+19.8dB,23.4us,"[0,",1,318.9,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.023378,PHY,0x4601,2,,na,"[0,",,,,,+30.4dB,25.4us,"[0,",1,318.17,normal,0,valid,-11.8dB,-11.9dB,0.15us,+0.1Hz,"[6,",,1,11111
2025-07-30 16:06:15.024183,PHY,0x4601,1,0,na,"[0,",0,0,,3447.3,+21.1dB,15.5us,"[0,",1,318.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.024767,PHY,0x4601,1,0,na,"[0,",0,0,,3438.8,+21.1dB,15.3us,"[0,",1,318.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.029263,PHY,0x4601,1,0,na,"[0,",0,0,,2432.9,+19.6dB,18.4us,"[0,",1,319.8,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.029738,PHY,0x4601,1,0,na,"[0,",0,0,,2403.5,+19.5dB,14.5us,"[0,",1,319.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.033263,PHY,0x4601,2,,na,"[0,",,,,,+35.5dB,18.1us,"[0,",1,319.17,normal,0,valid,-11.9dB,-11.9dB,0.16us,+37.1Hz,"[6,",,1,11110
2025-07-30 16:06:15.034207,PHY,0x4601,1,0,na,"[0,",0,0,,3363.7,+21.0dB,15.9us,"[0,",1,319.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.034680,PHY,0x4601,1,0,na,"[0,",0,0,,3585.8,+21.3dB,14.2us,"[0,",1,319.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.038871,CSI,0x4601,2,,na,"[0,",,,,,+36.0dB,14.4us,"[0,",1,320.8,normal,0,valid,-11.7dB,-11.7dB,0.15us,-13.0Hz,"[6,",1110,1,1
2025-07-30 16:06:15.039755,PHY,0x4601,1,0,na,"[0,",0,0,,3694.0,+21.4dB,15.8us,"[0,",1,320.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.043336,PHY,0x4601,2,,na,"[0,",,,,,+32.3dB,15.2us,"[0,",1,320.17,normal,0,valid,-11.9dB,-11.9dB,0.13us,-142.8Hz,"[6,",,1,11111
2025-07-30 16:06:15.044247,PHY,0x4601,1,0,na,"[0,",0,0,,3269.6,+20.9dB,19.3us,"[0,",1,320.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.044714,PHY,0x4601,1,0,na,"[0,",0,0,,3884.8,+21.6dB,15.0us,"[0,",1,320.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.049219,PHY,0x4601,1,0,na,"[0,",0,0,,2324.5,+19.4dB,17.9us,"[0,",1,321.8,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.049688,PHY,0x4601,1,0,na,"[0,",0,0,,2214.7,+19.2dB,15.0us,"[0,",1,321.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.053325,PHY,0x4601,2,,na,"[0,",,,,,+31.4dB,16.1us,"[0,",1,321.17,normal,0,valid,-11.8dB,-11.8dB,0.16us,+24.1Hz,"[6,",,1,11110
2025-07-30 16:06:15.054163,PHY,0x4601,1,0,na,"[0,",0,0,,2609.9,+19.9dB,16.0us,"[0,",1,321.18,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
2025-07-30 16:06:15.054750,PHY,0x4601,1,0,na,"[0,",0,0,,2464.5,+19.7dB,14.7us,"[0,",1,321.19,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.058840,CSI,0x4601,2,,na,"[0,",,,,,+32.2dB,14.2us,"[0,",1,322.8,normal,0,valid,-11.7dB,-11.7dB,0.14us,+179.3Hz,"[6,",1110,1,1
2025-07-30 16:06:15.059711,PHY,0x4601,1,0,na,"[0,",0,0,,2266.7,+19.3dB,17.0us,"[0,",1,322.9,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.063250,PHY,0x4601,2,,na,"[0,",,,,,+31.9dB,13.1us,"[0,",1,322.17,normal,0,valid,-11.8dB,-11.8dB,0.15us,+21.1Hz,"[6,",,1,11111
2025-07-30 16:06:15.064198,PHY,0x4601,1,0,na,"[0,",0,0,,3742.0,+21.5dB,15.8us,"[0,",1,322.18,normal,0,valid,-14.7dB,-14.8dB,na,na,,,,1
2025-07-30 16:06:15.064672,PHY,0x4601,1,0,na,"[0,",0,0,,3576.7,+21.3dB,16.1us,"[0,",1,322.19,normal,0,valid,-14.7dB,-14.7dB,na,na,,,,1
