time,log_type,rnti,format,prb1,prb2,symb,cs,occ,ack,metric,sinr,t,bwp,n_id,slot,cp,ports,status,epre,rsrp,t_align,cfo,sr,prb,csi1,n_id0
2025-08-03 16:05:24.090963,CSI,0x4601,2,,na,"[4,",,,,,+31.9dB,12.6us,"[0,",1,694.8,normal,0,valid,-13.4dB,-13.4dB,0.18us,-6.7Hz,,"[7,",1101,1
2025-08-03 16:05:24.110668,PHY,0x4601,1,4,na,"[0,",0,0,,0.0,-26.0dB,16.0us,"[0,",1,696.7,normal,0,invalid,-46.5dB,-72.9dB,na,na,no,,,
2025-08-03 16:05:24.110921,CSI,0x4601,2,,na,"[4,",,,,,+38.0dB,12.6us,"[0,",1,696.8,normal,0,valid,-13.5dB,-13.5dB,0.19us,-29.5Hz,,"[7,",1101,1
2025-08-03 16:05:24.130730,PHY,0x4601,1,4,na,"[0,",0,0,,1828.3,+18.4dB,14.2us,"[0,",1,698.7,normal,0,valid,-15.2dB,-15.3dB,na,na,yes,,,
2025-08-03 16:05:24.130866,CSI,0x4601,2,,na,"[4,",,,,,+34.4dB,12.1us,"[0,",1,698.8,normal,0,valid,-13.4dB,-13.4dB,0.18us,-40.2Hz,,"[7,",1101,1
2025-08-03 16:05:24.150685,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-18.3dB,14.7us,"[0,",1,700.7,normal,0,invalid,-46.5dB,-64.8dB,na,na,,,,
2025-08-03 16:05:24.150700,PHY,0x4601,1,0,na,"[0,",0,0,1,1720.2,+18.1dB,11.5us,"[0,",1,700.7,normal,0,valid,-15.4dB,-15.4dB,na,na,,,,
2025-08-03 16:05:24.150967,CSI,0x4601,2,,na,"[4,",,,,,+38.5dB,14.3us,"[0,",1,700.8,normal,0,valid,-13.4dB,-13.5dB,0.17us,+28.5Hz,,"[7,",1101,1
2025-08-03 16:05:24.170646,PHY,0x4601,1,4,na,"[0,",0,0,,0.7,-12.2dB,15.3us,"[0,",1,702.7,normal,0,invalid,-46.8dB,-59.9dB,na,na,no,,,
2025-08-03 16:05:24.170922,CSI,0x4601,2,,na,"[4,",,,,,+34.6dB,13.6us,"[0,",1,702.8,normal,0,valid,-13.4dB,-13.5dB,0.17us,+2.5Hz,,"[7,",1101,1
2025-08-03 16:05:24.190709,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-19.6dB,14.8us,"[0,",1,704.7,normal,0,invalid,-46.6dB,-66.5dB,na,na,no,,,
2025-08-03 16:05:24.190954,CSI,0x4601,2,,na,"[4,",,,,,+33.1dB,13.3us,"[0,",1,704.8,normal,0,valid,-13.4dB,-13.5dB,0.19us,-81.7Hz,,"[7,",1101,1
2025-08-03 16:05:24.210661,PHY,0x4601,1,4,na,"[0,",0,0,,0.0,-27.3dB,14.6us,"[0,",1,706.7,normal,0,invalid,-46.7dB,-74.4dB,na,na,no,,,
2025-08-03 16:05:24.210942,CSI,0x4601,2,,na,"[4,",,,,,+32.7dB,19.3us,"[0,",1,706.8,normal,0,valid,-13.4dB,-13.4dB,0.18us,+25.7Hz,,"[7,",1101,1
2025-08-03 16:05:24.230724,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-23.2dB,14.7us,"[0,",1,708.7,normal,0,invalid,-46.5dB,-70.8dB,na,na,no,,,
2025-08-03 16:05:24.230849,CSI,0x4601,2,,na,"[4,",,,,,+32.4dB,14.9us,"[0,",1,708.8,normal,0,valid,-13.4dB,-13.5dB,0.18us,+9.9Hz,,"[7,",1101,1
2025-08-03 16:05:24.250680,PHY,0x4601,1,4,na,"[0,",0,0,,1845.1,+18.4dB,16.8us,"[0,",1,710.7,normal,0,valid,-15.2dB,-15.3dB,na,na,yes,,,
2025-08-03 16:05:24.250956,CSI,0x4601,2,,na,"[4,",,,,,+34.0dB,14.5us,"[0,",1,710.8,normal,0,valid,-13.4dB,-13.5dB,0.18us,-88.4Hz,,"[7,",1101,1
2025-08-03 16:05:24.270638,PHY,0x4601,1,4,na,"[0,",0,0,2,0.2,-30.6dB,15.3us,"[0,",1,712.7,normal,0,invalid,-46.4dB,-78.0dB,na,na,,,,
2025-08-03 16:05:24.270655,PHY,0x4601,1,0,na,"[0,",0,0,1,1820.0,+18.3dB,12.3us,"[0,",1,712.7,normal,0,valid,-15.3dB,-15.3dB,na,na,,,,
2025-08-03 16:05:24.270879,CSI,0x4601,2,,na,"[4,",,,,,+34.6dB,12.9us,"[0,",1,712.8,normal,0,valid,-13.3dB,-13.4dB,0.19us,-57.1Hz,,"[7,",1101,1
2025-08-03 16:05:24.290700,PHY,0x4601,1,4,na,"[0,",0,0,,0.5,-26.5dB,14.2us,"[0,",1,714.7,normal,0,invalid,-46.9dB,-73.9dB,na,na,no,,,
2025-08-03 16:05:24.290952,CSI,0x4601,2,,na,"[4,",,,,,+31.9dB,13.5us,"[0,",1,714.8,normal,0,valid,-13.3dB,-13.4dB,0.18us,+0.2Hz,,"[7,",1101,1
2025-08-03 16:05:24.310660,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-20.9dB,14.6us,"[0,",1,716.7,normal,0,invalid,-46.8dB,-67.8dB,na,na,no,,,
2025-08-03 16:05:24.310939,CSI,0x4601,2,,na,"[4,",,,,,+32.4dB,13.5us,"[0,",1,716.8,normal,0,valid,-13.3dB,-13.4dB,0.18us,+25.5Hz,,"[7,",1101,1
2025-08-03 16:05:24.330728,PHY,0x4601,1,4,na,"[0,",0,0,,0.7,-20.3dB,19.7us,"[0,",1,718.7,normal,0,invalid,-47.7dB,-69.1dB,na,na,no,,,
2025-08-03 16:05:24.331000,CSI,0x4601,2,,na,"[4,",,,,,+31.7dB,28.7us,"[0,",1,718.8,normal,0,valid,-13.3dB,-13.3dB,0.19us,-24.0Hz,,"[7,",1101,1
2025-08-03 16:05:24.350681,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-21.4dB,18.6us,"[0,",1,720.7,normal,0,invalid,-47.0dB,-69.5dB,na,na,no,,,
2025-08-03 16:05:24.350918,CSI,0x4601,2,,na,"[4,",,,,,+36.1dB,23.1us,"[0,",1,720.8,normal,0,valid,-13.3dB,-13.3dB,0.18us,+9.4Hz,,"[7,",1101,1
2025-08-03 16:05:24.370740,PHY,0x4601,1,4,na,"[0,",0,0,,1820.1,+18.3dB,15.7us,"[0,",1,722.7,normal,0,valid,-15.1dB,-15.2dB,na,na,yes,,,
2025-08-03 16:05:24.370904,CSI,0x4601,2,,na,"[4,",,,,,+34.7dB,22.0us,"[0,",1,722.8,normal,0,valid,-13.3dB,-13.3dB,0.17us,+36.1Hz,,"[7,",1101,1
2025-08-03 16:05:24.390695,PHY,0x4601,1,4,na,"[0,",0,0,2,0.0,-40.4dB,16.5us,"[0,",1,724.7,normal,0,invalid,-46.4dB,-87.0dB,na,na,,,,
2025-08-03 16:05:24.390714,PHY,0x4601,1,0,na,"[0,",0,0,1,1708.1,+18.1dB,13.7us,"[0,",1,724.7,normal,0,valid,-15.4dB,-15.5dB,na,na,,,,
2025-08-03 16:05:24.390958,CSI,0x4601,2,,na,"[4,",,,,,+34.2dB,13.8us,"[0,",1,724.8,normal,0,valid,-13.4dB,-13.4dB,0.17us,+71.7Hz,,"[7,",1101,1
2025-08-03 16:05:24.410648,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-29.0dB,14.9us,"[0,",1,726.7,normal,0,invalid,-45.9dB,-74.9dB,na,na,no,,,
2025-08-03 16:05:24.410916,CSI,0x4601,2,,na,"[4,",,,,,+34.6dB,12.5us,"[0,",1,726.8,normal,0,valid,-13.4dB,-13.5dB,0.20us,-6.2Hz,,"[7,",1101,1
2025-08-03 16:05:24.430715,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-32.4dB,15.4us,"[0,",1,728.7,normal,0,invalid,-46.5dB,-79.4dB,na,na,no,,,
2025-08-03 16:05:24.430954,CSI,0x4601,2,,na,"[4,",,,,,+33.0dB,14.0us,"[0,",1,728.8,normal,0,valid,-13.5dB,-13.5dB,0.19us,-70.0Hz,,"[7,",1101,1
2025-08-03 16:05:24.450669,PHY,0x4601,1,4,na,"[0,",0,0,,0.2,-16.6dB,15.3us,"[0,",1,730.7,normal,0,invalid,-46.6dB,-63.8dB,na,na,no,,,
2025-08-03 16:05:24.450910,CSI,0x4601,2,,na,"[4,",,,,,+33.7dB,13.4us,"[0,",1,730.8,normal,0,valid,-13.5dB,-13.5dB,0.16us,+64.3Hz,,"[7,",1101,1
2025-08-03 16:05:24.470731,PHY,0x4601,1,4,na,"[0,",0,0,,0.1,-23.6dB,13.9us,"[0,",1,732.7,normal,0,invalid,-47.1dB,-71.5dB,na,na,no,,,
2025-08-03 16:05:24.470867,CSI,0x4601,2,,na,"[4,",,,,,+31.8dB,12.0us,"[0,",1,732.8,normal,0,valid,-13.5dB,-13.5dB,0.20us,+3.5Hz,,"[7,",1101,1
2025-08-03 16:05:24.490684,PHY,0x4601,1,4,na,"[0,",0,0,,1785.0,+18.3dB,14.1us,"[0,",1,734.7,normal,0,valid,-15.2dB,-15.3dB,na,na,yes,,,
2025-08-03 16:05:24.490964,CSI,0x4601,2,,na,"[4,",,,,,+31.4dB,11.5us,"[0,",1,734.8,normal,0,valid,-13.4dB,-13.4dB,0.18us,-61.5Hz,,"[7,",1101,1
